# AEPS activesites empty dreg res wall sort-hits sort-misses sort-total
15103 15360 8933 134 1 0 73 248 321
15202 15360 8922 133 5 0 69 269 338
15301 15360 8887 133 9 0 59 258 317
15406 15360 8908 137 4 0 85 264 349
15505 15360 8891 134 4 0 107 250 357
15604 15360 8890 134 3 0 83 243 326
15703 15360 8865 136 4 0 99 248 347
15802 15360 8859 141 2 0 78 268 346
15902 15360 8878 146 5 0 82 255 337
16001 15360 8890 143 3 0 77 260 337
16104 15360 8842 137 6 0 76 275 351
16204 15360 8926 132 4 0 75 302 377
16303 15360 8925 125 5 0 67 292 359
16402 15360 8913 127 4 0 77 282 359
16501 15360 8864 127 5 0 79 270 349
16601 15360 8884 127 6 0 79 281 360
16701 15360 8945 126 4 0 77 275 352
16804 15360 8906 134 4 0 74 249 323
16904 15360 8883 131 3 0 79 283 362
17004 15360 8754 124 7 0 76 210 286
17103 15360 8775 129 2 0 81 302 383
17202 15360 8825 136 5 0 86 287 373
17301 15360 8924 134 1 0 91 266 357
17401 15360 8913 135 2 0 69 251 320
17504 15360 8818 140 2 0 97 272 369
17604 15360 8850 135 4 0 109 303 412
17703 15360 8912 136 2 0 110 317 427
17802 15360 8908 141 4 0 122 290 412
17902 15360 8916 145 8 0 93 264 357
18001 15360 8955 135 9 0 107 260 367
18101 15360 8908 134 2 0 86 206 292
18201 15360 8893 138 3 0 80 244 324
18304 15360 8887 131 5 0 102 254 356
18403 15360 8829 124 4 0 77 230 307
18502 15360 8932 115 2 0 90 306 396
18601 15360 8916 116 3 0 80 269 349
18701 15360 8928 112 2 0 82 295 377
18801 15360 8910 113 2 0 88 265 353
18905 15360 8889 116 3 0 92 268 360
19004 15360 8869 112 2 0 111 268 379
19103 15360 8869 107 3 0 109 282 391
19202 15360 8962 109 4 0 117 310 427
19302 15360 8905 112 2 0 95 251 346
19406 15360 8920 114 8 0 82 297 379
19504 15360 8975 112 4 0 80 256 336
19603 15360 8939 115 4 0 69 254 323
19701 15360 8866 114 4 0 83 251 334
19801 15360 8934 112 6 0 92 257 349
19905 15360 8879 112 2 0 74 267 341
20003 15360 8826 114 4 0 70 287 357
